=== ROBUST DEPENDENCY ANALYZER WITH DEEP FREQUENCY METRICS ===
Scanning folder: SANJOYNATH_QRS_WRS_RANKING_PQSQEDQRS_WRS_145603_classfiles_PQSQED\

Found project: SANJOYNATH_QRS_WRS_RANKING_PQSQEDQRS_WRS_145603_classfiles_PQSQED\PQSQED.csproj
Source files gathered: 145602
All classes discovered: 145590
Parsed: 2_Maccabees.cs -> PQSQED.2_Maccabees (direct deps: 5, substrings: 36)
Parsed: 2_Samuel.cs -> PQSQED.2_Samuel (direct deps: 7, substrings: 15)
Parsed: 3.cs -> PQSQED.3 (direct deps: 4, substrings: 0)
Parsed: 30.cs -> PQSQED.30 (direct deps: 5, substrings: 1)
Parsed: 300.cs -> PQSQED.300 (direct deps: 5, substrings: 3)
Parsed: 300th.cs -> PQSQED.300th (direct deps: 7, substrings: 5)
Parsed: 30Minutes.cs -> PQSQED.30Minutes (direct deps: 4, substrings: 23)
Parsed: 30th.cs -> PQSQED.30th (direct deps: 5, substrings: 3)
Parsed: 31.cs -> PQSQED.31 (direct deps: 4, substrings: 1)
Parsed: 31st.cs -> PQSQED.31st (direct deps: 6, substrings: 3)
Parsed: 32.cs -> PQSQED.32 (direct deps: 4, substrings: 1)
Parsed: 32nd.cs -> PQSQED.32nd (direct deps: 5, substrings: 3)
Parsed: 33.cs -> PQSQED.33 (direct deps: 4, substrings: 1)
Parsed: 33rd.cs -> PQSQED.33rd (direct deps: 5, substrings: 3)
Parsed: 34.cs -> PQSQED.34 (direct deps: 4, substrings: 1)
Parsed: 34th.cs -> PQSQED.34th (direct deps: 5, substrings: 3)
Parsed: 35.cs -> PQSQED.35 (direct deps: 4, substrings: 1)
Parsed: 35th.cs -> PQSQED.35th (direct deps: 5, substrings: 3)
Parsed: 36.cs -> PQSQED.36 (direct deps: 4, substrings: 1)
Parsed: 365Days.cs -> PQSQED.365Days (direct deps: 4, substrings: 10)
Parsed: 366Days.cs -> PQSQED.366Days (direct deps: 9, substrings: 10)
Parsed: 36th.cs -> PQSQED.36th (direct deps: 5, substrings: 3)
Parsed: 37.cs -> PQSQED.37 (direct deps: 4, substrings: 1)
Parsed: 37th.cs -> PQSQED.37th (direct deps: 5, substrings: 3)
Parsed: 38.cs -> PQSQED.38 (direct deps: 4, substrings: 1)
Parsed: 38th.cs -> PQSQED.38th (direct deps: 5, substrings: 3)
Parsed: 39.cs -> PQSQED.39 (direct deps: 4, substrings: 1)
Parsed: 39th.cs -> PQSQED.39th (direct deps: 5, substrings: 3)
Parsed: 3D.cs -> PQSQED.3D (direct deps: 7, substrings: 0)
Parsed: 3Dimensional.cs -> PQSQED.3Dimensional (direct deps: 5, substrings: 55)
Parsed: 3dRadar.cs -> PQSQED.3dRadar (direct deps: 10, substrings: 10)
Parsed: 3Hitter.cs -> PQSQED.3Hitter (direct deps: 7, substrings: 15)
Parsed: 3Membered.cs -> PQSQED.3Membered (direct deps: 5, substrings: 28)
Parsed: 3rd.cs -> PQSQED.3rd (direct deps: 9, substrings: 1)
Parsed: 3rd_October_Organization.cs -> PQSQED.3rd_October_Organization (direct deps: 18, substrings: 91)
Parsed: 3TC.cs -> PQSQED.3TC (direct deps: 12, substrings: 1)
Parsed: 3_D.cs -> PQSQED.3_D (direct deps: 7, substrings: 0)
Parsed: 4.cs -> PQSQED.4 (direct deps: 5, substrings: 0)
Parsed: 40.cs -> PQSQED.40 (direct deps: 5, substrings: 1)
Parsed: 400.cs -> PQSQED.400 (direct deps: 5, substrings: 3)
Parsed: 400th.cs -> PQSQED.400th (direct deps: 7, substrings: 5)
Parsed: 401K.cs -> PQSQED.401K (direct deps: 23, substrings: 3)
Parsed: 401KPlan.cs -> PQSQED.401KPlan (direct deps: 23, substrings: 14)
Parsed: 40th.cs -> PQSQED.40th (direct deps: 6, substrings: 3)
Parsed: 41.cs -> PQSQED.41 (direct deps: 4, substrings: 1)
Parsed: 41st.cs -> PQSQED.41st (direct deps: 5, substrings: 3)
Parsed: 42.cs -> PQSQED.42 (direct deps: 4, substrings: 1)
Parsed: 42nd.cs -> PQSQED.42nd (direct deps: 5, substrings: 3)
Parsed: 43.cs -> PQSQED.43 (direct deps: 4, substrings: 1)
Parsed: 43rd.cs -> PQSQED.43rd (direct deps: 5, substrings: 3)
Parsed: 44.cs -> PQSQED.44 (direct deps: 4, substrings: 1)
Parsed: 440Yards.cs -> PQSQED.440Yards (direct deps: 6, substrings: 14)
Parsed: 44th.cs -> PQSQED.44th (direct deps: 5, substrings: 3)
Parsed: 45.cs -> PQSQED.45 (direct deps: 4, substrings: 1)
Parsed: 45th.cs -> PQSQED.45th (direct deps: 5, substrings: 3)
Parsed: 46.cs -> PQSQED.46 (direct deps: 4, substrings: 1)
Parsed: 46th.cs -> PQSQED.46th (direct deps: 5, substrings: 3)
Parsed: 47.cs -> PQSQED.47 (direct deps: 4, substrings: 1)
Parsed: 47th.cs -> PQSQED.47th (direct deps: 5, substrings: 3)
Parsed: 48.cs -> PQSQED.48 (direct deps: 4, substrings: 1)
Parsed: 48th.cs -> PQSQED.48th (direct deps: 5, substrings: 3)
Parsed: 49.cs -> PQSQED.49 (direct deps: 4, substrings: 1)
Parsed: 49th.cs -> PQSQED.49th (direct deps: 5, substrings: 3)
Parsed: 4Dimensional.cs -> PQSQED.4Dimensional (direct deps: 4, substrings: 55)
Parsed: 4Hitter.cs -> PQSQED.4Hitter (direct deps: 6, substrings: 15)
Parsed: 4Membered.cs -> PQSQED.4Membered (direct deps: 5, substrings: 28)
Parsed: 4th.cs -> PQSQED.4th (direct deps: 13, substrings: 1)
Parsed: 4to.cs -> PQSQED.4to (direct deps: 12, substrings: 1)
Parsed: 4WD.cs -> PQSQED.4WD (direct deps: 6, substrings: 1)
Parsed: 5.cs -> PQSQED.5 (direct deps: 5, substrings: 0)
Parsed: 50.cs -> PQSQED.50 (direct deps: 5, substrings: 1)
Parsed: 500.cs -> PQSQED.500 (direct deps: 6, substrings: 3)
Parsed: 500th.cs -> PQSQED.500th (direct deps: 7, substrings: 5)
Parsed: 50th.cs -> PQSQED.50th (direct deps: 6, substrings: 3)
Parsed: 51.cs -> PQSQED.51 (direct deps: 4, substrings: 1)
Parsed: 52.cs -> PQSQED.52 (direct deps: 4, substrings: 1)
Parsed: 53.cs -> PQSQED.53 (direct deps: 4, substrings: 1)
Parsed: 54.cs -> PQSQED.54 (direct deps: 4, substrings: 1)
Parsed: 55.cs -> PQSQED.55 (direct deps: 4, substrings: 1)
Parsed: 55th.cs -> PQSQED.55th (direct deps: 5, substrings: 3)
Parsed: 56.cs -> PQSQED.56 (direct deps: 4, substrings: 1)
Parsed: 57.cs -> PQSQED.57 (direct deps: 4, substrings: 1)
Parsed: 58.cs -> PQSQED.58 (direct deps: 4, substrings: 1)
Parsed: 59.cs -> PQSQED.59 (direct deps: 4, substrings: 1)
Parsed: 5Hitter.cs -> PQSQED.5Hitter (direct deps: 6, substrings: 15)
Parsed: 5Hydroxytryptamine.cs -> PQSQED.5Hydroxytryptamine (direct deps: 7, substrings: 136)
Parsed: 5Hydroxy_3MethylglutarylCoenzyme_AReductase.cs -> PQSQED.5Hydroxy_3MethylglutarylCoenzyme_AReductase (direct deps: 5, substrings: 186)
Parsed: 5Membered.cs -> PQSQED.5Membered (direct deps: 5, substrings: 28)
Parsed: 5th.cs -> PQSQED.5th (direct deps: 9, substrings: 1)
Parsed: 6.cs -> PQSQED.6 (direct deps: 5, substrings: 0)
Parsed: 60.cs -> PQSQED.60 (direct deps: 5, substrings: 1)
Parsed: 60Minutes.cs -> PQSQED.60Minutes (direct deps: 6, substrings: 23)
Parsed: 60th.cs -> PQSQED.60th (direct deps: 6, substrings: 3)
Parsed: 61.cs -> PQSQED.61 (direct deps: 4, substrings: 1)
Parsed: 62.cs -> PQSQED.62 (direct deps: 4, substrings: 1)
Parsed: 63.cs -> PQSQED.63 (direct deps: 4, substrings: 1)
Parsed: 64.cs -> PQSQED.64 (direct deps: 4, substrings: 1)
Parsed: 64th.cs -> PQSQED.64th (direct deps: 5, substrings: 3)
Parsed: 65.cs -> PQSQED.65 (direct deps: 4, substrings: 1)
Parsed: 65th.cs -> PQSQED.65th (direct deps: 5, substrings: 3)
Parsed: 66.cs -> PQSQED.66 (direct deps: 4, substrings: 1)
Parsed: 67.cs -> PQSQED.67 (direct deps: 4, substrings: 1)
Parsed: 68.cs -> PQSQED.68 (direct deps: 4, substrings: 1)
Parsed: 69.cs -> PQSQED.69 (direct deps: 4, substrings: 1)
Parsed: 6Membered.cs -> PQSQED.6Membered (direct deps: 5, substrings: 28)
Parsed: 6th.cs -> PQSQED.6th (direct deps: 9, substrings: 1)
Parsed: 6_June_1944.cs -> PQSQED.6_June_1944 (direct deps: 7, substrings: 13)
Parsed: 7.cs -> PQSQED.7 (direct deps: 5, substrings: 0)
Parsed: 70.cs -> PQSQED.70 (direct deps: 5, substrings: 1)
Parsed: 70th.cs -> PQSQED.70th (direct deps: 6, substrings: 3)
Parsed: 71.cs -> PQSQED.71 (direct deps: 4, substrings: 1)
Parsed: 72.cs -> PQSQED.72 (direct deps: 4, substrings: 1)
Parsed: 73.cs -> PQSQED.73 (direct deps: 4, substrings: 1)
Parsed: 74.cs -> PQSQED.74 (direct deps: 4, substrings: 1)
Parsed: 75.cs -> PQSQED.75 (direct deps: 4, substrings: 1)
Parsed: 75th.cs -> PQSQED.75th (direct deps: 5, substrings: 3)
Parsed: 76.cs -> PQSQED.76 (direct deps: 4, substrings: 1)
Parsed: 77.cs -> PQSQED.77 (direct deps: 4, substrings: 1)
Parsed: 78.cs -> PQSQED.78 (direct deps: 5, substrings: 1)
Parsed: 79.cs -> PQSQED.79 (direct deps: 4, substrings: 1)
Parsed: 7Membered.cs -> PQSQED.7Membered (direct deps: 5, substrings: 28)
Parsed: 7th.cs -> PQSQED.7th (direct deps: 9, substrings: 1)
Parsed: 8.cs -> PQSQED.8 (direct deps: 5, substrings: 0)
Parsed: 80.cs -> PQSQED.80 (direct deps: 5, substrings: 1)
Parsed: 80th.cs -> PQSQED.80th (direct deps: 6, substrings: 3)
Parsed: 81.cs -> PQSQED.81 (direct deps: 4, substrings: 1)
Parsed: 82.cs -> PQSQED.82 (direct deps: 4, substrings: 1)
Parsed: 83.cs -> PQSQED.83 (direct deps: 4, substrings: 1)
Parsed: 84.cs -> PQSQED.84 (direct deps: 4, substrings: 1)
Parsed: 85.cs -> PQSQED.85 (direct deps: 4, substrings: 1)
Parsed: 85th.cs -> PQSQED.85th (direct deps: 5, substrings: 3)
Parsed: 86.cs -> PQSQED.86 (direct deps: 4, substrings: 1)
Parsed: 87.cs -> PQSQED.87 (direct deps: 4, substrings: 1)
Parsed: 88.cs -> PQSQED.88 (direct deps: 4, substrings: 1)
Parsed: 880Yards.cs -> PQSQED.880Yards (direct deps: 6, substrings: 14)
Parsed: 89.cs -> PQSQED.89 (direct deps: 4, substrings: 1)
Parsed: 8Membered.cs -> PQSQED.8Membered (direct deps: 5, substrings: 28)
Parsed: 8th.cs -> PQSQED.8th (direct deps: 9, substrings: 1)
Parsed: 8vo.cs -> PQSQED.8vo (direct deps: 13, substrings: 1)
Parsed: 8_May_1945.cs -> PQSQED.8_May_1945 (direct deps: 7, substrings: 10)
Parsed: 9.cs -> PQSQED.9 (direct deps: 5, substrings: 0)
Parsed: 90.cs -> PQSQED.90 (direct deps: 5, substrings: 1)
Parsed: 90th.cs -> PQSQED.90th (direct deps: 6, substrings: 3)
Parsed: 91.cs -> PQSQED.91 (direct deps: 4, substrings: 1)
Parsed: 92.cs -> PQSQED.92 (direct deps: 4, substrings: 1)
Parsed: 93.cs -> PQSQED.93 (direct deps: 4, substrings: 1)
Parsed: 94.cs -> PQSQED.94 (direct deps: 4, substrings: 1)
Parsed: 95.cs -> PQSQED.95 (direct deps: 4, substrings: 1)
Parsed: 95th.cs -> PQSQED.95th (direct deps: 5, substrings: 3)
Parsed: 96.cs -> PQSQED.96 (direct deps: 4, substrings: 1)
Parsed: 97.cs -> PQSQED.97 (direct deps: 4, substrings: 1)
Parsed: 98.cs -> PQSQED.98 (direct deps: 4, substrings: 1)
Parsed: 99.cs -> PQSQED.99 (direct deps: 4, substrings: 1)
Parsed: 9Membered.cs -> PQSQED.9Membered (direct deps: 5, substrings: 28)
Parsed: 9th.cs -> PQSQED.9th (direct deps: 9, substrings: 1)
Parsed: 9_11.cs -> PQSQED.9_11 (direct deps: 7, substrings: 1)
Parsed: A.cs -> PQSQED.A (direct deps: 10, substrings: 0)
Parsed: AA.cs -> PQSQED.Aa (direct deps: 4, substrings: 1)
Parsed: AAA.cs -> PQSQED.AAA (direct deps: 7, substrings: 2)
Parsed: Aachen.cs -> PQSQED.Aachen (direct deps: 12, substrings: 15)
Parsed: Aah.cs -> PQSQED.Aah (direct deps: 5, substrings: 3)
Parsed: AalandIslands.cs -> PQSQED.AalandIslands (direct deps: 8, substrings: 31)
Parsed: Aalborg.cs -> PQSQED.Aalborg (direct deps: 6, substrings: 21)
Parsed: Aalii.cs -> PQSQED.Aalii (direct deps: 7, substrings: 10)
Parsed: Aalst.cs -> PQSQED.Aalst (direct deps: 5, substrings: 10)
Parsed: Aalto.cs -> PQSQED.Aalto (direct deps: 4, substrings: 10)
Parsed: Aar.cs -> PQSQED.Aar (direct deps: 8, substrings: 3)
