Class,Depth,Rank,DirectCount,DirectDependencies
PQSQED.Genus_Ibis,0,1,0,
PQSQED.Genus_Ixobrychus,0,1,0,
PQSQED.Genus_Jabiru,0,1,0,
PQSQED.Genus_Jaculus,0,1,0,
PQSQED.Genus_Jordanella,0,1,0,
PQSQED.Genus_Juniperus,0,1,0,
PQSQED.Genus_Jynx,0,1,0,
PQSQED.Genus_Lagopus,0,1,0,
PQSQED.Genus_Lagostomus,0,1,0,
PQSQED.Genus_Lama,0,1,0,
PQSQED.Genus_Lappula,0,1,0,
PQSQED.Genus_Larix,0,1,0,
PQSQED.Genus_Lebistes,0,1,0,
PQSQED.Genus_Leontideus,0,1,0,
PQSQED.Genus_Leontocebus,0,1,0,
PQSQED.Genus_Lepidochelys,0,1,0,
PQSQED.Genus_Leptoglossus,0,1,0,
PQSQED.Genus_Limnodromus,0,1,0,
PQSQED.Genus_Limosa,0,1,0,
PQSQED.Genus_Loligo,0,1,0,
PQSQED.Genus_Lophophorus,0,1,0,
PQSQED.Genus_Lunda,0,1,0,
PQSQED.Genus_Luscinia,0,1,0,
PQSQED.Genus_Lycopersicon,0,1,0,
PQSQED.Genus_Lycopersicum,0,1,0,
PQSQED.Genus_Lygus,0,1,0,
PQSQED.Genus_Lynx,0,1,0,
PQSQED.Genus_Macrocephalon,0,1,0,
PQSQED.Genus_Makaira,0,1,0,
PQSQED.Genus_Mallotus,0,1,0,
PQSQED.Genus_Malva,0,1,0,
PQSQED.Genus_Mandrillus,0,1,0,
